Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
Canada	MANINGRIDA AERO;27.3	BULMAN AWS;34.4	GOVE;23.7	Quesnel Airport;5494.75	Solander Island Meteorological Aeronautical Presentation System;38.1	Sandspit;300.0	Brevoort Island;294.0	Wiarton;58.0	HOLBERG;302.0	Grande Prairie;3.0	Sable Island;37.0
Cape Verde	PRAIA;24.9	PRAIA;28.7	Sal;22.5	Sal;551.7	Sal;26.4	Sal;35.0	Sal;2.0	Sal;10.0	Sal;2.0	Sal;1.0	Sal;3.0
Cayman Islands	MAJURAMARSHALL;36.0	MAJURAMARSHALL;37.4	MAJURAMARSHALL;34.6	MAJURO ATOLL WEATHE;3598.88	ENEWETAK;28.7	MAJURO ATOLL WEATHE;216.0	Owen Roberts Airportgrand Cayman;1.0	Owen Roberts Airportgrand Cayman;73.0	Owen Roberts Airportgrand Cayman;1.0	Owen Roberts Airportgrand Cayman;20.0	GRAND CAYMAN;2.0
Central African Republic	Bangui;26.2	Bangui;32.8	Bangui;21.4	Berberati;1382.54	Berberati;7.9	Bangui;137.0	Bangui;1.0	Bangui;217.0	Bangassou;108.0	EMPTY;0.0	Bangui;1.0
Chad	Ndjamena;29.4	Ndjamena;37.5	Ndjamena;22.4	Sarh;1180.15	Ndjamena;13.8	Sarh;80.0	Sarh;2.0	Sarh;146.0	Sarh;4.0	Sarh;2.0	Sarh;2.0
Chile	Arica;21.8	Arica;25.2	Arica;19.1	FARO EVANGELISTAS;3942.78	FARO EVANGELISTAS;44.5	FARO EVANGELISTAS;310.0	FREI CHI-BASE;187.0	QUINTA NORMAL;15.0	Concepcion;158.0	BERNARDO O`HIGGINS;1.0	Antofagasta;14.0
China	NANSHA DAO;29.3	NANSHA DAO;32.6	NANSHA DAO;27.1	XINYI;4508.99	WUTAI SHAN;40.7	BIJIE;275.0	MADOI;182.0	Haikou;114.0	JIUXIAN SHAN;307.0	LINCANG;4.0	XAINZA;23.0
Christmas Island	Cocos Island Airport;27.4	Cocos Island Airport;29.7	Cocos Island Airport;25.7	Christmas Island Aerodrome;2064.47	Cocos Island Airport;31.4	Cocos Island Airport;265.0	EMPTY;0.0	Cocos Island Airport;12.0	Christmas Island Aerodrome;8.0	Cocos Island Airport;2.0	Christmas Island Aerodrome;1.0
Colombia	Valledupar / Alfonso Lopez;31.1	Valledupar / Alfonso Lopez;36.6	San Andres Isla / Sesquicentenario;26.4	Quibdo / El Carano;6423.13	San Andres Isla / Sesquicentenario;27.2	Rionegro / J. M. Cordova;278.0	Bogota / Eldorado;7.0	Quibdo / El Carano;186.0	Rionegro / J. M. Cordova;301.0	Cali / Alfonso Bonillaaragon;4.0	Bogota / Eldorado;17.0
Comoros	Dzaoudzi / Pamanzi Mayotte;27.7	Hahaya International Airport;31.5	Dzaoudzi / Pamanzi Mayotte;24.5	MORONI AIRPORT (GRA;3967.8	Dzaoudzi / Pamanzi Mayotte;15.1	Hahaya International Airport;160.0	Dzaoudzi / Pamanzi Mayotte;2.0	Hahaya International Airport;65.0	Dzaoudzi / Pamanzi Mayotte;2.0	Dzaoudzi / Pamanzi Mayotte;2.0	Hahaya International Airport;5.0
Congo	Impfondo;26.9	Impfondo;32.0	Pointe-Noire;23.5	Impfondo;1818.15	Pointe-Noire;10.7	Pointe-Noire;170.0	Pointe-Noire;4.0	Impfondo;227.0	Ouesso;78.0	Brazzaville / Maya-Maya;3.0	Brazzaville / Maya-Maya;4.0
Cook Islands	PENRHYN ISLAND;29.2	PUKAPUKA;31.8	PENRHYN ISLAND;27.0	PENRHYN ISLAND;4385.57	PENRHYN ISLAND;26.1	PUKAPUKA;272.0	AMURI/AITUTAKI ISL;3.0	PUKAPUKA;32.0	Rarotonga;7.0	Rarotonga;2.0	PUKAPUKA;4.0
Costa Rica	Liberia;29.6	Liberia;34.1	Puerto Limon;23.5	Puerto Limon;3446.04	Juan Santamaria;24.8	Juan Santamaria;240.0	Juan Santamaria;2.0	Tobias Bolanos International;104.0	Juan Santamaria;175.0	Juan Santamaria;1.0	Juan Santamaria;8.0
