Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
São Tomé and Príncipe	S. Tome;26.5	S. Tome;29.4	S. Tome;23.5	EMPTY;0.0	S. Tome;13.1	S. Tome;80.0	EMPTY;0.0	S. Tome;119.0	EMPTY;0.0	EMPTY;0.0	EMPTY;0.0
Taiwan	NENSHA ISL(=599970);28.5	NENSHA ISL(=599970);32.5	NENSHA ISL(=599970);25.6	LAN YU;3127.28	LAN YU;36.7	Sungshan / Taipei;251.0	MOUNT MORRISON;26.0	Pingtung South Air Force Base;90.0	Chiayi Tw-Afb;354.0	Chiayi Tw-Afb;5.0	MOUNT MORRISON;9.0
Tajikistan	Dushanbe;16.3	Dushanbe;24.1	Dushanbe;10.1	Dushanbe;1052.61	Dushanbe;9.2	Dushanbe;129.0	Dushanbe;38.0	Dushanbe;57.0	Dushanbe;57.0	Dushanbe;1.0	Dushanbe;3.0
Tanzania	Zanzibar / Kisauni;27.2	Dar Es Salaam Airport;32.1	Zanzibar / Kisauni;23.7	Bukoba;2104.68	Tanga;19.4	Bukoba;177.0	Kigoma;21.0	Bukoba;169.0	Dar Es Salaam Airport;54.0	Bukoba;2.0	Mwanza;8.0
Thailand	BANGKOK;30.4	Don Muang;35.8	BANGKOK PILOT;27.0	KHLONG YAI;6478.71	Songkhla;18.5	Phuket Airport;218.0	Hat Yai;4.0	Hat Yai;149.0	BANGKOK;345.0	Roi Et;6.0	Surat Thani;5.0
The Gambia	Banjul / Yundum;26.6	Banjul / Yundum;33.4	Banjul / Yundum;21.6	Banjul / Yundum;828.78	Banjul / Yundum;12.6	Banjul / Yundum;90.0	Banjul / Yundum;1.0	Banjul / Yundum;93.0	Banjul / Yundum;7.0	Banjul / Yundum;2.0	Banjul / Yundum;1.0
Togo	Mango;29.7	Mango;35.6	Lome;24.8	Atakpame;1521.23	Lome;13.9	Lome;120.0	Lome;1.0	Lome;134.0	Atakpame;96.0	Lome;1.0	Lome;1.0
Tonga	Haapai;26.3	Haapai;32.0	Haapai;23.4	FUAAMOTU;3763.47	Haapai;20.3	NUKUALOFA;231.0	Haapai;2.0	FUAAMOTU;22.0	FUAAMOTU;20.0	FUAAMOTU;1.0	FUAAMOTU;3.0
Trinidad and Tobago	Crown Pt./ Scarborou;27.6	Piarco International Airport, Trinidad;33.4	Crown Pt./ Scarborou;25.4	Piarco International Airport, Trinidad;7045.93	Crown Pt./ Scarborou;16.5	Piarco International Airport, Trinidad;266.0	Crown Point Airport, Tobago;3.0	Piarco International Airport, Trinidad;78.0	Piarco International Airport, Trinidad;24.0	Piarco International Airport, Trinidad;6.0	Piarco International Airport, Trinidad;2.0
Tunisia	El Borma;26.1	El Borma;30.8	Djerba Mellita;17.6	Tabarka;1322.58	THALA;25.1	Tunis-Carthage;153.0	THALA;11.0	Tunis-Carthage;56.0	THALA;64.0	Kairouan;2.0	Tunis-Carthage;5.0
Turkey	ALANYA;22.9	SILIFKE;26.5	Iskenderun;18.5	INEBOLU;2743.73	Bandirma;22.8	Trabzon;217.0	ERZURUM (CIV/MIL);89.0	Kars;89.0	Balikesir;196.0	Trabzon;3.0	Kars;14.0
Turkmenistan	Ashkhabad / Ahal;18.5	Ashkhabad / Ahal;25.2	Ashkhabad / Ahal;12.3	Ashkhabad / Ahal;711.15	Ashkhabad / Ahal;12.8	Ashkhabad / Ahal;112.0	Ashkhabad / Ahal;35.0	Ashkhabad / Ahal;33.0	Ashkhabad / Ahal;38.0	Ashkhabad / Ahal;2.0	Ashkhabad / Ahal;2.0
Tuvalu	FUNAFATI;29.3	FUNAFUTI;33.5	FUNAFATI;27.7	Funafuti;4342.39	Funafuti;23.1	Funafuti;249.0	Funafuti;1.0	Funafuti;28.0	Funafuti;2.0	Funafuti;2.0	Funafuti;4.0
Uganda	Gulu;24.3	Gulu;28.6	Jinja;20.1	EMPTY;0.0	Gulu;16.2	Entebbe Airport;189.0	Entebbe Airport;2.0	Entebbe Airport;236.0	Entebbe Airport;15.0	Entebbe Airport;2.0	Entebbe Airport;16.0
Ukraine	YALTA;14.3	Simferopol;18.3	YALTA;11.4	Kyiv;4747.89	MARIUPOL;24.0	LVIV;186.0	Kharkiv;95.0	Kyiv;51.0	Donetsk;109.0	Kharkiv;3.0	MARIUPOL;13.0
United Arab Emirates	Dubai International Airport;29.8	Al Ain International Airport;37.1	Fujairah;26.0	Dubai International Airport;824.48	Sharjah International Airport;17.5	Dubai International Airport;50.0	Dubai International Airport;3.0	Ras Al Khaimah International Airport;19.0	Abu Dhabi International Airport;59.0	Ras Al Khaimah International Airport;1.0	Sharjah International Airport;5.0
United Kingdom	ENVIRONM BUOY 62163;21.1	ENVIRONM BUOY 62163;22.6	ENVIRONM BUOY 62163;19.8	CAPEL CURIG;3496.04	CAIRNGORM;55.8	LERWICK;343.0	SIGNY ISLAND;214.0	Valley;37.0	TIVINGTON;230.0	Guernsey Airport;5.0	LERWICK;97.0
United States	AMBOULI AB;30.7	AMBOULI AB;34.9	AMBOULI AB;27.2	Yakutat;6048.31	Mount Washington;62.6	Hilo, Hilo International Airport;325.0	CAPE PARRY AIRPORT;261.0	Fort Riley;163.0	Mount Washington;333.0	Key West, Key West International Airport;39.0	VICTORIA (AUTO8);122.0
United States Minor Outlying Islands	Pago Pago / Int. Airp.;28.5	Pago Pago / Int. Airp.;31.3	Pago Pago / Int. Airp.;25.7	Pago Pago / Int. Airp.;9259.09	Johnston Island;33.3	Pago Pago / Int. Airp.;288.0	Pago Pago / Int. Airp.;6.0	Pago Pago / Int. Airp.;43.0	Pago Pago / Int. Airp.;2.0	Pago Pago / Int. Airp.;1.0	Pago Pago / Int. Airp.;3.0
Uruguay	Salto;21.1	Artigas;27.3	Artigas;15.1	Artigas;2140.46	Colonia;24.4	Carrasco;158.0	Carrasco;8.0	Artigas;79.0	Melo;94.0	Treinta Y Tres;2.0	Carrasco;7.0
Uzbekistan	Termez;18.8	Termez;26.8	Termez;11.0	Samarkand;878.85	Samarkand;16.8	Tashkent;119.0	Tashkent;41.0	Samarkand;40.0	Tashkent;50.0	Samarkand;2.0	Termez;4.0
Vanuatu	Sola Vanua Lava;27.3	Bauerfield Efate;31.9	Sola Vanua Lava;24.7	Sola Vanua Lava;5407.23	ISLE OF SHOALS;30.0	Sola Vanua Lava;279.0	Sola Vanua Lava;3.0	Bauerfield Efate;68.0	Bauerfield Efate;54.0	Bauerfield Efate;2.0	Pekoa Airport Santo;3.0
Venezuela	Coro;31.4	Coro;36.4	BOGUS VENEZUELAN;27.5	Sto. Domingo;2525.57	Coro;27.8	Maturin;234.0	Merida;3.0	Valencia;160.0	San Antonio Del Tachira;169.0	Maracaibo-La Chinita;2.0	Caracas / Maiquetia Aerop. Intl. Simon Bolivar;30.0
Vietnam	TAN AN;29.9	PHUOC-VINH;34.9	TRUONG SA;26.9	Hue;4325.87	BACH LONG VI;24.8	Ha Noi;233.0	Ho Chi Minh;3.0	Ho Chi Minh;199.0	BAO-LOC (BLAO);345.0	BA-XUYEN/SOC TRANG;5.0	Ho Chi Minh;7.0
Western Sahara	Villa Cisneros;21.5	Villa Cisneros;25.2	Villa Cisneros;17.9	Villa Cisneros;42.69	Villa Cisneros;31.6	Villa Cisneros;16.0	Villa Cisneros;1.0	Villa Cisneros;4.0	Villa Cisneros;62.0	EMPTY;0.0	EMPTY;0.0
Yemen	Hodeidah;29.8	Sayun;36.3	Mokha;27.3	Riyan;314.22	Socotra;32.7	IBB;98.0	SANAA INTL/RAHABA;2.0	Taiz;128.0	HAJJAH;65.0	Taiz;1.0	SANAA;3.0
Yugoslavia	BAR;18.2	PODGORICA-GRAD;22.8	BAR;13.7	IVAN SEDLO;2499.52	BJELASNICA;43.9	Tuzla;187.0	KREDARICA;138.0	Tivat;86.0	BJELASNICA;275.0	ULCINJ;2.0	MOSTAR;14.0
Zambia	Lusaka Internationalairport;21.0	Lusaka Internationalairport;28.8	Lusaka Internationalairport;14.5	EMPTY;0.0	Lusaka Internationalairport;11.5	Lusaka Internationalairport;92.0	Lusaka Internationalairport;1.0	Lusaka Internationalairport;60.0	Lusaka Internationalairport;32.0	Lusaka Internationalairport;1.0	Lusaka Internationalairport;2.0
Zimbabwe	Kariba;26.0	Beitbridge;31.8	Kariba;19.2	Chipinge;1193.54	Bulawayo Airport;18.8	Chipinge;137.0	Harare Kutsaga;2.0	Karoi;98.0	Chipinge;147.0	Karoi;2.0	Bulawayo Airport;4.0
